"Data set code (""ISO- 3 CODE"" )",Data set identifier,Country/territory name,Geographical region,Data level,Last updated,Supplement to data level,"Records in the LOCALITY
file AAA_XY1","Records in the
LOCALITY SUBDIVISION
file AAA_XY2","Records in the
STREET
(roadnet) file AAA_XY3","Records in the ORGANIZATION
file AAA_XY4","Records in the SYNONYM
file AAA_XY5",Non-Latin scripts supported,"ISO code of
language in  the SYN_LNG fileld for non Latin script","Encoding used in the ISO 8859 folder
(UTF-8 if not available)","Data sets with specific conditions on
31 August 2024","Download the sample from www.upu.int
or ask for your sample CD",Street name
ECU,00,Ecuador,Central and South America,A,2019.1,,"1,014",,"311,353",,"34,998",,,ISO-8859-1,,Yes,street name use country
EGY,00,Egypt,Africa,B,2023.3,,299,25,,"528,648",227,Arab,ar,,,,Not in use country
SLV,00,El Salvador,Central and South America,A,2019.2,"Streets and districts for the
capital",298,"2,953",437,152,,,,ISO-8859-1,,,street name use country
GNQ,00,Equatorial Guinea,Africa,C,2023.1,,37,,,,,,,ISO-8859-1,,,Not in use country
ERI,00,Eritrea,Africa,C,2015.2,,56,4,,,11,Ethi,ti,,,,Not in use country
EST,00,Estonia,Eastern Europe,A++,2024.3,"Streets for some 755
towns/cities",79,"4,707","1,348,696",,,,,ISO-8859-13,,Yes,street name use country
SWZ,00,Eswatini,Africa,B,2020.4,,81,,,,,,,ISO-8859-1,,,Not in use country
ETH,00,Ethiopia,Africa,C,2016.4,,77,729,,"1,387",9,,,ISO-8859-1,,,Not in use country
FLK,00,Falkland Is. (Malvinas),Territories,A,2016.4,,62,,83,3,,,,ISO-8859-1,,,street name use country
FRO,00,Faröe Islands,Western Europe,A++,2024.1,,118,,"25,906",12,592,,,ISO-8859-1,,,street name use country
FJI,00,Fiji,Asia Pacific Oceania,C,2017.2,,163,,97,369,,,,ISO-8859-1,,,street name use country
FIN,00,Finland,Western Europe,A+,2024.3,,"3,511",,"370,723","37,077","35,657",,,ISO-8859-1,,Yes,street name use country
FRA,50,France,Western Europe,A++,2024.3,,"35,195","4,713","26,340,738","172,116","492,208",,,ISO-8859-1,Hexacle + Hexaligne,Yes,street name use country
GUF,00,French Guiana,Territories,B+,2024.3,,22,3,,6,,,,ISO-8859-1,,,Not in use country
PYF,00,French Polynesia,Territories,B+,2024.3,,205,191,,4,,,,ISO-8859-1,,,Not in use country
ATF,00,French Southern Ter.,Territories,C,2018.3,,5,,,,5,,,ISO-8859-1,,,Not in use country
GAB,00,Gabon,Africa,C,2016.2,,49,211,,,,,,ISO-8859-1,,,Not in use country
GMB,00,Gambia,Africa,C,2018.1,,"1,633",,,14,2,,,ISO-8859-1,,,Not in use country
GEO,00,Georgia,Eastern Europe,A,2024.1,,"3,910",,"7,342",27,3,Geor,,,,Yes,street name use country
DEU,20,Germany,Western Europe,A+,2024.3,,"12,935","73,718","1,268,522","53,760","188,814",,,ISO-8859-1,Datafactory Streetcode,Yes,street name use country
GHA,00,Ghana,Africa,B,2021.1,,245,,,264,,,,ISO-8859-1,,,Not in use country
GIB,00,Gibraltar,Territories,A,2016.4,,1,,"30,178",1,,,,ISO-8859-1,,,street name use country
GRC,10,Greece,Western Europe,A+,2024.3,,592,"13,318","81,610",953,73,Grek,,ISO-8859-7,"GREEK STREET
DATABASE",Yes,street name use country
GRL,00,Greenland,Western Europe,B,2024.3,,33,,,,,,,ISO-8859-1,,,Not in use country
GRD,00,Grenada,Central and South America,C,2015.4,,279,,,,19,,,ISO-8859-1,,,Not in use country
GLP,00,Guadeloupe,Territories,B+,2024.3,,32,5,,2,,,,ISO-8859-1,,,Not in use country
GUM,00,Guam,Territories,B,2024.3,,23,,,17,25,,,ISO-8859-1,,,Not in use country
GTM,00,Guatemala,Central and South America,B+,2019.3,,366,188,,,,,,ISO-8859-1,,,Not in use country
GIN,00,Guinea,Africa,A,2020.1,,39,"1,705",252,78,26,,,ISO-8859-1,,,street name use country
GNB,00,Guinea-Bissau,Africa,B+,2004.2,,47,35,,,,,,ISO-8859-1,,,Not in use country
GUY,00,Guyana,Central and South America,C,2022.1,,"1,193",255,517,62,10,,,ISO-8859-1,,,street name use country
HTI,00,Haiti,Central and South America,B,2019.4,Streets for the capital only,140,581,34,,20,,,ISO-8859-1,,,street name use country
HND,00,Honduras,Central and South America,B,2022.4,,466,,,830,,,,ISO-8859-1,,,Not in use country
HKG,00,Hong Kong,Territories,C,2024.3,,18,127,"4,735",,,Hans,,,,Yes,street name use country
